ImageID,ProductID,ImagePath,AltText,IsMain,SortOrder,CreatedAt
40,40,https://loremflickr.com/800/600/sofa?lock=40,Outdoor Rattan Sofa Front,1,1,2023-10-27 10:00:00
41,41,https://loremflickr.com/800/600/cabinet?lock=41,Tall Bookshelf Front,1,1,2023-10-27 10:00:00
42,42,https://loremflickr.com/800/600/cabinet?lock=42,TV Media Console Front,1,1,2023-10-27 10:00:00
43,43,https://loremflickr.com/800/600/cabinet?lock=43,Glass Display Cabinet Front,1,1,2023-10-27 10:00:00
44,44,https://loremflickr.com/800/600/cabinet?lock=44,Kitchen Pantry Front,1,1,2023-10-27 10:00:00
45,45,https://loremflickr.com/800/600/cabinet?lock=45,Filing Cabinet Front,1,1,2023-10-27 10:00:00
46,46,https://loremflickr.com/800/600/cabinet?lock=46,Sideboard Buffet Front,1,1,2023-10-27 10:00:00
47,47,https://loremflickr.com/800/600/cabinet?lock=47,Bathroom Vanity Front,1,1,2023-10-27 10:00:00
48,48,https://loremflickr.com/800/600/cabinet?lock=48,Shoe Cabinet Front,1,1,2023-10-27 10:00:00
49,49,https://loremflickr.com/800/600/cabinet?lock=49,Wardrobe Armoire Front,1,1,2023-10-27 10:00:00
50,50,https://loremflickr.com/800/600/cabinet?lock=50,Wall Mounted Cupboard Front,1,1,2023-10-27 10:00:00
51,51,https://loremflickr.com/800/600/homedecor?lock=51,Table Lamp Front,1,1,2023-10-27 10:00:00
52,52,https://loremflickr.com/800/600/homedecor?lock=52,Floor Rug Front,1,1,2023-10-27 10:00:00
53,53,https://loremflickr.com/800/600/homedecor?lock=53,Wall Mirror Front,1,1,2023-10-27 10:00:00
54,54,https://loremflickr.com/800/600/homedecor?lock=54,Throw Pillow Front,1,1,2023-10-27 10:00:00
55,55,https://loremflickr.com/800/600/homedecor?lock=55,Vase Set Front,1,1,2023-10-27 10:00:00
56,56,https://loremflickr.com/800/600/homedecor?lock=56,Wall Clock Front,1,1,2023-10-27 10:00:00
57,57,https://loremflickr.com/800/600/homedecor?lock=57,Coat Rack Front,1,1,2023-10-27 10:00:00
58,58,https://loremflickr.com/800/600/homedecor?lock=58,Potted Artificial Plant Front,1,1,2023-10-27 10:00:00
59,59,https://loremflickr.com/800/600/homedecor?lock=59,Curtain Set Front,1,1,2023-10-27 10:00:00
60,60,https://loremflickr.com/800/600/homedecor?lock=60,Serving Tray Front,1,1,2023-10-27 10:00:00
