ProductID,CategoryID,ProductName,SKU,Description,Material,Dimensions,WeightKG,BasePrice,StockQty,ReorderLevel,IsActive,CreatedAt,UpdatedAt
35,4,Chesterfield Sofa,SOF-005,Tufted leather classic sofa,Leather,230x95x80,75.0,95000.00,3,1,1,2023-10-27 10:00:00,2023-10-27 10:00:00
36,4,Recliner Sofa,SOF-006,3-seater with manual recliners,Faux Leather,220x95x100,85.0,70000.00,6,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
37,4,Modular Sofa Set,SOF-007,Customizable 5-piece set,Fabric,300x300x85,120.0,110000.00,4,1,1,2023-10-27 10:00:00,2023-10-27 10:00:00
38,4,Mid-Century Sofa,SOF-008,Retro style with wooden legs,Linen,210x85x80,45.0,52000.00,15,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
39,4,Futon Couch,SOF-009,Simple fold-down couch,Cotton/Metal,180x90x80,30.0,25000.00,25,10,1,2023-10-27 10:00:00,2023-10-27 10:00:00
40,4,Outdoor Rattan Sofa,SOF-010,Patio 2-seater with cushions,Rattan,140x75x70,25.0,35000.00,10,3,1,2023-10-27 10:00:00,2023-10-27 10:00:00
41,5,Tall Bookshelf,CAB-001,5-tier wooden bookcase,Wood,80x30x180,25.0,180.00,30,10,1,2023-10-27 10:00:00,2023-10-27 10:00:00
42,5,TV Media Console,CAB-002,Low cabinet for entertainment,Wood/Metal,150x40x50,35.0,250.00,20,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
43,5,Glass Display Cabinet,CAB-003,Curio cabinet with glass doors,Wood/Glass,90x40x190,55.0,450.00,8,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
44,5,Kitchen Pantry,CAB-004,Tall storage for kitchen goods,Engineered Wood,80x45x180,45.0,300.00,15,4,1,2023-10-27 10:00:00,2023-10-27 10:00:00
45,5,Filing Cabinet,CAB-005,3-drawer metal office storage,Metal,40x50x100,20.0,120.00,40,15,1,2023-10-27 10:00:00,2023-10-27 10:00:00
46,5,Sideboard Buffet,CAB-006,Dining room storage cabinet,Oak,160x45x85,60.0,550.00,5,1,1,2023-10-27 10:00:00,2023-10-27 10:00:00
47,5,Bathroom Vanity,CAB-007,Sink base cabinet,Wood,90x50x85,30.0,380.00,12,3,1,2023-10-27 10:00:00,2023-10-27 10:00:00
48,5,Shoe Cabinet,CAB-008,Entryway shoe storage,Engineered Wood,80x35x100,22.0,150.00,25,8,1,2023-10-27 10:00:00,2023-10-27 10:00:00
49,5,Wardrobe Armoire,CAB-009,Large freestanding closet,Pine,120x60x200,85.0,700.00,7,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
50,5,Wall Mounted Cupboard,CAB-010,Floating storage cabinet,Wood,60x30x60,15.0,90.00,35,10,1,2023-10-27 10:00:00,2023-10-27 10:00:00
51,6,Table Lamp,ACC-001,Ceramic base table lamp,Ceramic/Fabric,30x30x55,2.5,45.00,100,20,1,2023-10-27 10:00:00,2023-10-27 10:00:00
52,6,Floor Rug,ACC-002,Persian style woven rug,Wool,200x300x2,12.0,250.00,20,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
53,6,Wall Mirror,ACC-003,Round brass frame mirror,Glass/Metal,80x80x3,5.0,120.00,30,8,1,2023-10-27 10:00:00,2023-10-27 10:00:00
54,6,Throw Pillow,ACC-004,Decorative cotton cushion,Cotton,45x45x15,0.5,25.00,150,30,1,2023-10-27 10:00:00,2023-10-27 10:00:00
55,6,Vase Set,ACC-005,Set of 3 glass vases,Glass,15x15x30,1.5,40.00,60,15,1,2023-10-27 10:00:00,2023-10-27 10:00:00
56,6,Wall Clock,ACC-006,Minimalist wooden clock,Wood,40x40x5,1.0,55.00,45,10,1,2023-10-27 10:00:00,2023-10-27 10:00:00
57,6,Coat Rack,ACC-007,Standing metal coat tree,Metal,45x45x175,6.0,65.00,25,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
58,6,Potted Artificial Plant,ACC-008,Faux fiddle leaf fig,Plastic,40x40x120,4.0,85.00,40,10,1,2023-10-27 10:00:00,2023-10-27 10:00:00
59,6,Curtain Set,ACC-009,Blackout living room drapes,Polyester,140x250x1,2.0,75.00,50,15,1,2023-10-27 10:00:00,2023-10-27 10:00:00
60,6,Serving Tray,ACC-010,Wooden ottoman tray,Wood,50x30x5,1.2,35.00,70,20,1,2023-10-27 10:00:00,2023-10-27 10:00:00
